time_from_treatment_start,population,response,median_pct,baseline_median_pct,change_from_baseline_pct_points
0,b_cell,no,9.758175376096343,9.758175376096343,0.0
7,b_cell,no,9.96574061312489,9.758175376096343,0.2075652370285468
14,b_cell,no,9.837048983645893,9.758175376096343,0.07887360754954997
0,b_cell,yes,9.785034652883825,9.785034652883825,0.0
7,b_cell,yes,9.233417466902628,9.785034652883825,-0.5516171859811969
14,b_cell,yes,9.107291903786328,9.785034652883825,-0.6777427490974972
0,cd4_t_cell,no,29.530535110403818,29.530535110403818,0.0
7,cd4_t_cell,no,29.54763079244407,29.530535110403818,0.017095682040253024
14,cd4_t_cell,no,30.069868027059997,29.530535110403818,0.5393329166561784
0,cd4_t_cell,yes,29.633821633005223,29.633821633005223,0.0
7,cd4_t_cell,yes,30.445659590036684,29.633821633005223,0.8118379570314609
14,cd4_t_cell,yes,30.790936388610856,29.633821633005223,1.1571147556056331
0,cd8_t_cell,no,24.60102813964531,24.60102813964531,0.0
7,cd8_t_cell,no,24.772727272727273,24.60102813964531,0.17169913308196172
14,cd8_t_cell,no,24.5581237253569,24.60102813964531,-0.04290441428841163
0,cd8_t_cell,yes,24.39568761084873,24.39568761084873,0.0
7,cd8_t_cell,yes,24.696417585537837,24.39568761084873,0.30072997468910856
14,cd8_t_cell,yes,25.077472448539822,24.39568761084873,0.6817848376910938
0,monocyte,no,20.286002186823318,20.286002186823318,0.0
7,monocyte,no,20.03212228622065,20.286002186823318,-0.2538799006026693
14,monocyte,no,19.74962832087221,20.286002186823318,-0.5363738659511093
0,monocyte,yes,19.6055804178746,19.6055804178746,0.0
7,monocyte,yes,19.596890913964085,19.6055804178746,-0.008689503910513707
14,monocyte,yes,19.623260270454477,19.6055804178746,0.01767985257987803
0,nk_cell,no,14.890453979521677,14.890453979521677,0.0
7,nk_cell,no,14.795928490644656,14.890453979521677,-0.0945254888770215
14,nk_cell,no,14.653386282211766,14.890453979521677,-0.23706769730991084
0,nk_cell,yes,14.997332404211535,14.997332404211535,0.0
7,nk_cell,yes,14.419799388594255,14.997332404211535,-0.5775330156172807
14,nk_cell,yes,14.35279940320205,14.997332404211535,-0.644533001009485
